Niveau	Date et heure	Source	ID de l’événement	Catégorie de la tâche
Erreur	15/10/2025 10:11:45	NETLOGON	5719	Aucun	"Cet ordinateur n’a pas pu configurer une session sécurisée avec un contrôleur de domaine dans le domaine AFDB pour la raison suivante : 
Nous n’avons pas pu vous connecter avec ces informations d’identification, car votre domaine n’est pas disponible. Vérifiez que votre appareil est connecté au réseau de votre organisation, puis réessayez. Si vous vous connectiez sur cet appareil avec d’autres informations d’identification auparavant, vous pouvez utiliser celles-ci pour vous connecter. 
Cela peut entraîner des problèmes d’authentification. Vérifiez que cet ordinateur est connecté au réseau. Si le problème persiste, contactez votre administrateur de domaine.  

INFORMATIONS SUPPLÉMENTAIRES 
Si cet ordinateur est un contrôleur de domaine pour le domaine spécifié, il installe la session sécurisée sur l’émulateur de contrôleur de domaine principal dans le domaine spécifié. Sinon, cet ordinateur installe la session sécurisée sur n’importe quel contrôleur de domaine du domaine spécifié."
Erreur	15/10/2025 10:11:37	hasplms	3	Aucun	ERROR: DEP policy is not enabled due system configuration

Erreur	14/10/2025 21:14:50	Microsoft-Windows-GroupPolicy	1052	Aucun	Le traitement de la stratégie de groupe a échoué. Windows n’a pas pu déterminer le rôle de cet ordinateur. Les informations de rôle (groupe de travail, serveur membre ou contrôleur de domaine) sont requises pour traiter la stratégie de groupe.
Erreur	14/10/2025 21:14:50	Microsoft-Windows-GroupPolicy	1052	Aucun	Le traitement de la stratégie de groupe a échoué. Windows n’a pas pu déterminer le rôle de cet ordinateur. Les informations de rôle (groupe de travail, serveur membre ou contrôleur de domaine) sont requises pour traiter la stratégie de groupe.
Erreur	14/10/2025 21:14:34	Microsoft-Windows-DistributedCOM	10010	Aucun	Le serveur AD2F1837.BangOlufsenAudioControl_1.51.329.0_x64__v10z8vjag6ke6!App ne s’est pas enregistré sur DCOM avant la fin du temps imparti.
Erreur	14/10/2025 15:51:09	Microsoft-Windows-WindowsUpdateClient	20	Agent de mise à jour automatique Windows Update	Échec de l’installation : l’installation de la mise à jour suivante a échoue avec l’erreur 0xC190020E : Windows 11, version 24H2.
Erreur	14/10/2025 11:06:28	Microsoft-Windows-Security-Kerberos	19	Aucun	Le certificat KDC pour le contrôleur de domaine ne contient pas l’utilisation améliorée de la clé KDC : 1.3.6.1.5.2.3.5 : Code d’erreur 0xc0000320. Pour résoudre cette erreur, l’administrateur du domaine doit obtenir un certificat avec l’utilisation améliorée de la clé KDC pour le contrôleur de domaine. Lorsque vous utilisez Windows Server, les services de certificats créent un certificat basé sur le modèle d’authentification Kerberos.
Erreur	14/10/2025 10:32:00	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	14/10/2025 10:18:00	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	14/10/2025 10:11:01	Microsoft-Windows-Security-Kerberos	11	Aucun	Le nom unique figurant dans le champ Objet de votre certificat d’ouverture de session par carte à puce ne contient pas suffisamment d’informations pour identifier le domaine adéquat sur un ordinateur qui n’est pas membre d’un domaine. Contactez votre administrateur système.
Erreur	14/10/2025 09:02:38	Microsoft-Windows-WindowsUpdateClient	20	Agent de mise à jour automatique Windows Update	Échec de l’installation : l’installation de la mise à jour suivante a échoue avec l’erreur 0x80073D02 : 9NTXGKQ8P7N0-MicrosoftWindows.CrossDevice.
Erreur	14/10/2025 08:42:08	Microsoft-Windows-Smartcard-Server	610	Aucun	"Le lecteur de carte à puce « Microsoft IFD 0 » a rejeté le contrôle d’E/S POWER : Cette demande n’est pas prise en charge.. Si cette erreur persiste, votre carte à puce ou lecteur présente peut-être un dysfonctionnement.

En-tête de commande : 00 00 00 00"
Erreur	14/10/2025 08:41:23	Microsoft-Windows-Smartcard-Server	610	Aucun	"Le lecteur de carte à puce « Microsoft IFD 0 » a rejeté le contrôle d’E/S POWER : Cette demande n’est pas prise en charge.. Si cette erreur persiste, votre carte à puce ou lecteur présente peut-être un dysfonctionnement.

En-tête de commande : 00 00 00 00"
Erreur	14/10/2025 08:41:11	Microsoft-Windows-Smartcard-Server	610	Aucun	"Le lecteur de carte à puce « Microsoft IFD 0 » a rejeté le contrôle d’E/S TRANSMIT : Erreur réseau inattendue.. Si cette erreur persiste, votre carte à puce ou lecteur présente peut-être un dysfonctionnement.

En-tête de commande : 00 a4 04 00"
Erreur	14/10/2025 08:39:51	Service Control Manager	7000	Aucun	"Le service Service Google Update (gupdate) n’a pas pu démarrer en raison de l’erreur : 
Le service n’a pas répondu assez vite à la demande de lancement ou de contrôle."
Erreur	14/10/2025 08:39:51	Service Control Manager	7009	Aucun	Le dépassement de délai (30000 millisecondes) a été atteint lors de l’attente de la connexion du service Service Google Update (gupdate).
Erreur	14/10/2025 08:39:50	Service Control Manager	7000	Aucun	"Le service Microsoft Cloud Managed Desktop Extension n’a pas pu démarrer en raison de l’erreur : 
Le fichier spécifié est introuvable."
Erreur	14/10/2025 08:37:59	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	14/10/2025 08:37:59	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	14/10/2025 08:37:43	NETLOGON	5719	Aucun	"Cet ordinateur n’a pas pu configurer une session sécurisée avec un contrôleur de domaine dans le domaine AFDB pour la raison suivante : 
Nous n’avons pas pu vous connecter avec ces informations d’identification, car votre domaine n’est pas disponible. Vérifiez que votre appareil est connecté au réseau de votre organisation, puis réessayez. Si vous vous connectiez sur cet appareil avec d’autres informations d’identification auparavant, vous pouvez utiliser celles-ci pour vous connecter. 
Cela peut entraîner des problèmes d’authentification. Vérifiez que cet ordinateur est connecté au réseau. Si le problème persiste, contactez votre administrateur de domaine.  

INFORMATIONS SUPPLÉMENTAIRES 
Si cet ordinateur est un contrôleur de domaine pour le domaine spécifié, il installe la session sécurisée sur l’émulateur de contrôleur de domaine principal dans le domaine spécifié. Sinon, cet ordinateur installe la session sécurisée sur n’importe quel contrôleur de domaine du domaine spécifié."
Erreur	14/10/2025 08:37:43	Microsoft-Windows-Security-Kerberos	11	Aucun	Le nom unique figurant dans le champ Objet de votre certificat d’ouverture de session par carte à puce ne contient pas suffisamment d’informations pour identifier le domaine adéquat sur un ordinateur qui n’est pas membre d’un domaine. Contactez votre administrateur système.
Erreur	14/10/2025 08:37:28	hasplms	3	Aucun	ERROR: DEP policy is not enabled due system configuration

Erreur	13/10/2025 23:33:25	Microsoft-Windows-GroupPolicy	1052	Aucun	Le traitement de la stratégie de groupe a échoué. Windows n’a pas pu déterminer le rôle de cet ordinateur. Les informations de rôle (groupe de travail, serveur membre ou contrôleur de domaine) sont requises pour traiter la stratégie de groupe.
Erreur	13/10/2025 23:33:24	Microsoft-Windows-GroupPolicy	1052	Aucun	Le traitement de la stratégie de groupe a échoué. Windows n’a pas pu déterminer le rôle de cet ordinateur. Les informations de rôle (groupe de travail, serveur membre ou contrôleur de domaine) sont requises pour traiter la stratégie de groupe.
Erreur	13/10/2025 23:33:00	Microsoft-Windows-DistributedCOM	10010	Aucun	Le serveur {F65817C8-DD85-4136-89F0-B9D12939F2C4} ne s’est pas enregistré sur DCOM avant la fin du temps imparti.
Erreur	13/10/2025 22:13:57	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	13/10/2025 22:07:48	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	13/10/2025 21:10:50	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	13/10/2025 21:10:50	NETLOGON	5719	Aucun	"Cet ordinateur n’a pas pu configurer une session sécurisée avec un contrôleur de domaine dans le domaine AFDB pour la raison suivante : 
Nous n’avons pas pu vous connecter avec ces informations d’identification, car votre domaine n’est pas disponible. Vérifiez que votre appareil est connecté au réseau de votre organisation, puis réessayez. Si vous vous connectiez sur cet appareil avec d’autres informations d’identification auparavant, vous pouvez utiliser celles-ci pour vous connecter. 
Cela peut entraîner des problèmes d’authentification. Vérifiez que cet ordinateur est connecté au réseau. Si le problème persiste, contactez votre administrateur de domaine.  

INFORMATIONS SUPPLÉMENTAIRES 
Si cet ordinateur est un contrôleur de domaine pour le domaine spécifié, il installe la session sécurisée sur l’émulateur de contrôleur de domaine principal dans le domaine spécifié. Sinon, cet ordinateur installe la session sécurisée sur n’importe quel contrôleur de domaine du domaine spécifié."
Erreur	13/10/2025 21:10:50	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	13/10/2025 17:11:28	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	13/10/2025 14:00:27	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	13/10/2025 09:35:18	Microsoft-Windows-WindowsUpdateClient	20	Agent de mise à jour automatique Windows Update	Échec de l’installation : l’installation de la mise à jour suivante a échoue avec l’erreur 0xC190020E : Windows 11, version 24H2.
Erreur	13/10/2025 09:20:34	Microsoft-Windows-DistributedCOM	10010	Aucun	Le serveur {88435F68-FFC1-445F-8EDF-EF78B84BA1C7} ne s’est pas enregistré sur DCOM avant la fin du temps imparti.
Erreur	13/10/2025 09:18:45	Service Control Manager	7000	Aucun	"Le service Service Google Update (gupdate) n’a pas pu démarrer en raison de l’erreur : 
Le service n’a pas répondu assez vite à la demande de lancement ou de contrôle."
Erreur	13/10/2025 09:18:45	Service Control Manager	7009	Aucun	Le dépassement de délai (30000 millisecondes) a été atteint lors de l’attente de la connexion du service Service Google Update (gupdate).
Erreur	13/10/2025 09:18:44	Service Control Manager	7000	Aucun	"Le service Microsoft Cloud Managed Desktop Extension n’a pas pu démarrer en raison de l’erreur : 
Le fichier spécifié est introuvable."
Erreur	13/10/2025 09:16:32	Microsoft-Windows-Security-Kerberos	19	Aucun	Le certificat KDC pour le contrôleur de domaine ne contient pas l’utilisation améliorée de la clé KDC : 1.3.6.1.5.2.3.5 : Code d’erreur 0xc0000320. Pour résoudre cette erreur, l’administrateur du domaine doit obtenir un certificat avec l’utilisation améliorée de la clé KDC pour le contrôleur de domaine. Lorsque vous utilisez Windows Server, les services de certificats créent un certificat basé sur le modèle d’authentification Kerberos.
Erreur	13/10/2025 09:16:19	hasplms	3	Aucun	ERROR: DEP policy is not enabled due system configuration

Erreur	10/10/2025 23:10:31	Service Control Manager	7043	Aucun	Le service Service Protection avancée contre les menaces Windows Defender ne s’est pas fermé correctement après avoir reçu une commande d’anticipation de fermeture.
Erreur	10/10/2025 23:10:11	Microsoft-Windows-DistributedCOM	10010	Aucun	Le serveur {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} ne s’est pas enregistré sur DCOM avant la fin du temps imparti.
Erreur	10/10/2025 23:10:10	Microsoft-Windows-DistributedCOM	10010	Aucun	Le serveur {AB8902B4-09CA-4BB6-B78D-A8F59079A8D5} ne s’est pas enregistré sur DCOM avant la fin du temps imparti.
Erreur	10/10/2025 23:10:04	Microsoft-Windows-DistributedCOM	10010	Aucun	Le serveur AD2F1837.BangOlufsenAudioControl_1.51.329.0_x64__v10z8vjag6ke6!App ne s’est pas enregistré sur DCOM avant la fin du temps imparti.
Erreur	10/10/2025 23:06:46	Volsnap	36	Aucun	Les clichés instantanés du volume C: ont été annulés car le stockage du cliché instantané n’a pas pu s’agrandir en raison d’une limite utilisateur.
Erreur	10/10/2025 22:57:20	Microsoft-Windows-Security-Kerberos	19	Aucun	Le certificat KDC pour le contrôleur de domaine ne contient pas l’utilisation améliorée de la clé KDC : 1.3.6.1.5.2.3.5 : Code d’erreur 0xc0000320. Pour résoudre cette erreur, l’administrateur du domaine doit obtenir un certificat avec l’utilisation améliorée de la clé KDC pour le contrôleur de domaine. Lorsque vous utilisez Windows Server, les services de certificats créent un certificat basé sur le modèle d’authentification Kerberos.
Erreur	10/10/2025 22:32:33	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
Erreur	10/10/2025 22:07:49	Microsoft-Windows-GroupPolicy	1129	Aucun	Échec du traitement de la stratégie de groupe en raison d’une absence de connectivité réseau vers un contrôleur de domaine. Il peut s’agir d’un problème temporaire. Un message de réussite est généré une fois que l’ordinateur est connecté au contrôleur de domaine et que la stratégie de groupe est correctement traitée. Si aucun message de réussite ne s’affiche pendant plusieurs heures, contactez votre administrateur.
